Date,Open,High,Low,Close,Volume
2018-05-01 00:00:00,1.20821,1.20821,1.20793,1.20794,138.96
2018-05-01 00:01:00,1.20794,1.20795,1.20787,1.2078799999999998,119.61
2018-05-01 00:02:00,1.2078799999999998,1.20793,1.2077,1.20779,210.42
2018-05-01 00:03:00,1.20779,1.20791,1.20779,1.20789,77.51
2018-05-01 00:04:00,1.20789,1.20795,1.20789,1.20792,56.97
2018-05-01 00:05:00,1.20792,1.20793,1.20787,1.20787,57.66
2018-05-01 00:06:00,1.2078799999999998,1.20794,1.20787,1.20793,84.17
2018-05-01 00:07:00,1.20793,1.20794,1.20791,1.20791,56.74
2018-05-01 00:08:00,1.20792,1.20793,1.20787,1.20793,61.23
2018-05-01 00:09:00,1.20792,1.20792,1.20776,1.20777,65.79
2018-05-01 00:10:00,1.20777,1.20793,1.20777,1.20792,111.65
2018-05-01 00:11:00,1.20793,1.2081,1.20792,1.2080799999999998,88.24
2018-05-01 00:12:00,1.2080799999999998,1.20814,1.2079,1.20791,141.48
2018-05-01 00:13:00,1.20791,1.2082600000000001,1.20791,1.20825,163.06
2018-05-01 00:14:00,1.20824,1.20825,1.20824,1.20825,54.73
2018-05-01 00:15:00,1.20825,1.20825,1.2081,1.20812,59.23
2018-05-01 00:16:00,1.20812,1.20817,1.20811,1.20817,79.28
2018-05-01 00:17:00,1.2081899999999999,1.20824,1.2081899999999999,1.20822,24.74
2018-05-01 00:18:00,1.20822,1.20824,1.20822,1.20823,43.25
2018-05-01 00:19:00,1.20824,1.20824,1.20792,1.20801,96.08
2018-05-01 00:20:00,1.20802,1.2081,1.20797,1.2079799999999998,72.21
2018-05-01 00:21:00,1.2079799999999998,1.2081,1.2079799999999998,1.20803,64.37
2018-05-01 00:22:00,1.20803,1.20812,1.20803,1.20811,35.05
2018-05-01 00:23:00,1.20807,1.2080899999999999,1.20797,1.208,95.89
2018-05-01 00:24:00,1.208,1.2081,1.208,1.2080899999999999,32.95
2018-05-01 00:25:00,1.2080899999999999,1.20825,1.2080899999999999,1.20825,66.49
2018-05-01 00:26:00,1.20825,1.20825,1.20818,1.20818,58.08
2018-05-01 00:27:00,1.2081899999999999,1.2081899999999999,1.20802,1.20803,70.26
2018-05-01 00:28:00,1.20803,1.2080899999999999,1.20803,1.2080899999999999,19.76
2018-05-01 00:29:00,1.2080799999999998,1.2080899999999999,1.20799,1.20801,52.13
2018-05-01 00:30:00,1.20802,1.2080799999999998,1.2078799999999998,1.20804,117.85
2018-05-01 00:31:00,1.20803,1.2080799999999998,1.2079799999999998,1.2079799999999998,76.7
2018-05-01 00:32:00,1.2079799999999998,1.208,1.20793,1.208,81.06
2018-05-01 00:33:00,1.20801,1.2081600000000001,1.2079600000000001,1.20805,81.16
